hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Sun N Sand,Pune,Maharashtra,,,,,18.5382482,73.8815099,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8706-864548,info@sunnsand.com,https://www.sunnsand.com,,3.6,443,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sriman,Pune,Maharashtra,,,,,18.5395872,73.8831852,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7681-106274,info@sriman.com,https://www.sriman.com,,3.9,157,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sirona,Pune,Maharashtra,,,,,18.5394081,73.8830135,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7653-699345,info@sirona.com,https://www.sirona.com,,4.1,486,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Aurora Towers,Pune,Maharashtra,,,,,18.5181549,73.878853,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7493-146646,info@auroratow.com,https://www.auroratowers.com,,3.8,384,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Raviraj,Pune,Maharashtra,,,,,18.5178872,73.8363021,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6191-561587,info@raviraj.com,https://www.raviraj.com,,3.8,392,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sagar Plaza,Pune,Maharashtra,,,,,18.5201845,73.8766107,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6317-195911,info@sagarplaz.com,https://www.sagarplaza.com,,3.9,412,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Gordon House,Pune,Maharashtra,,,,,18.5380015,73.8357003,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9609-343308,info@thegordon.com,https://www.thegordonhous.com,,3.9,394,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Executive Residency,Pune,Maharashtra,,,,,18.5411401,73.8877559,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,+91-7085-105499,info@hotelexec.com,https://www.hotelexecutive.com,,4.3,259,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
shitai hotel,Pune,Maharashtra,,,,,18.6768318,73.8773743,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9223-513978,info@shitaihot.com,https://www.shitaihotel.com,,3.4,33,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sadanand,Pune,Maharashtra,,,,,18.505459,73.8232862,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9595-857375,info@sadanand.com,https://www.sadanand.com,,3.3,415,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shalimar Hotel,Pune,Maharashtra,,,,,18.5261949,73.8766929,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7698-207114,info@shalimarh.com,https://www.shalimarhotel.com,,4.0,250,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Viva Inn,Pune,Maharashtra,,,,,18.5080071,73.7827827,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7827-141724,info@vivainn.com,https://www.vivainn.com,,3.3,314,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ritz Hotel,Pune,Maharashtra,,,,,18.5234559,73.8765561,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8747-583394,info@ritzhotel.com,https://www.ritzhotel.com,,3.9,392,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Swagat Luxury Lodging,Pune,Maharashtra,,,,,18.4448095,73.7871856,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+919860745456,info@swagatlux.com,https://www.swagatluxuryl.com,,4.8,199,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Hotel Abhijeet New Sweet Home,Pune,Maharashtra,,,,,18.5135819,73.8518395,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7886-473515,info@hotelabhi.com,https://www.hotelabhijeet.com,,3.5,489,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ginger hotel,Pune,Maharashtra,,,,,18.6075994,73.7515903,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7564-136028,info@gingerhot.com,https://www.gingerhotel.com,,3.7,310,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Conrad Pune,Pune,Maharashtra,"7, Mangaldas Road, Pune",5,,,18.5351646,73.8831426,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-20-67456745,conradpune.info@conradhotels.com,https://www.hilton.com/en/hotels/pnqcici-conrad-pune/,,3.5,234,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Marriott Suites Pune,Pune,Maharashtra,"81, Mundhwa Road, Pune",,,,18.5334614,73.9106668,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+912067257777,info@marriotts.com,https://www.marriottsuites.com,,4.2,181,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
DRDO Diat Guest House ,Pune,Maharashtra,,,,,18.4294917,73.7692929,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7470-653884,info@drdodiat.com,https://www.drdodiatguest.com,,3.9,452,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
royal,Pune,Maharashtra,,,,,18.515394,73.8666084,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8227-808258,info@royal.com,https://www.royal.com,,3.7,369,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Treebo Hotels Guest House,Pune,Maharashtra,,,,,18.53323,73.8873459,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7611-237681,info@treebohot.com,https://www.treebohotelsg.com,,4.2,401,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Apple Tree,Pune,Maharashtra,,,,,18.5316743,73.8970091,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8660-530887,info@appletree.com,https://www.appletree.com,,4.1,271,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Mukesh,Pune,Maharashtra,,,,,18.5175829,73.8745041,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9343-299888,info@hotelmuke.com,https://www.hotelmukesh.com,,4.2,292,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
