hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Honeymoon Inn,Shimla,Himachal Pradesh,,,,,31.0982012,77.1778187,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7376-381770,info@honeymoon.com,https://www.honeymooninn.com,,4.0,396,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
New Spring View,Shimla,Himachal Pradesh,,,,,31.2480951,77.0920657,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9622-536325,info@newspring.com,https://www.newspringview.com,,3.3,297,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Spars Lodge,Shimla,Himachal Pradesh,,,,,31.1035537,77.1522589,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9595-999970,info@sparslodg.com,https://www.sparslodge.com,,3.4,342,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Wingait Inn,Shimla,Himachal Pradesh,"Chaura Maidan Road, Shimla",,,,31.1030041,77.15173,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 177 645 1501,info@wingaitin.com,https://www.wingaitinn.com/,,3.7,226,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vishram,Shimla,Himachal Pradesh,,,,,31.1035139,77.1473641,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7912-168994,info@vishram.com,https://www.vishram.com,,3.6,410,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Peterhof,Shimla,Himachal Pradesh,,,,,31.1033073,77.148844,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6313-732870,info@peterhof.com,https://www.peterhof.com,,4.0,245,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Rama Palace,Shimla,Himachal Pradesh,,,,,31.102194,77.1503471,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9218-204202,info@hotelrama.com,https://www.hotelramapala.com,,4.3,398,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Oberoi Cecil,Shimla,Himachal Pradesh,,,,,31.1032551,77.1547552,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6511-551871,info@oberoicec.com,https://www.oberoicecil.com,,4.7,430,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Landmark Hotel and lookout,Shimla,Himachal Pradesh,,,,,31.105556,77.163467,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7516-628851,info@landmarkh.com,https://www.landmarkhotel.com,,3.4,444,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Clarke's Hotel,Shimla,Himachal Pradesh,,,,,31.0999017,77.1755596,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8305-165735,info@clarkesh.com,https://www.clarkeshotel.com,,3.8,71,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Combermere,Shimla,Himachal Pradesh,,,,,31.1022887,77.1769937,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8380-413114,info@hotelcomb.com,https://www.hotelcombermer.com,,4.1,488,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Willow Bank,Shimla,Himachal Pradesh,,,,,31.100891,77.176465,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9953-808136,info@hotelwill.com,https://www.hotelwillowba.com,,4.1,277,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Woodville Palace Hotel,Shimla,Himachal Pradesh,,,,,31.091608,77.1777749,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9400-139782,info@woodville.com,https://www.woodvillepalac.com,,4.3,85,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Hotel Rahat Regency,Shimla,Himachal Pradesh,,,,,31.0921261,77.177242,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9251-593877,info@hotelraha.com,https://www.hotelrahatreg.com,,3.2,269,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Springfields Hotel,Shimla,Himachal Pradesh,,,,,31.0860444,77.1811807,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7649-210285,info@springfiel.com,https://www.springfieldsho.com,,3.4,341,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Amar Palace,Shimla,Himachal Pradesh,,,,,31.1061649,77.1791859,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7395-445681,info@hotelamar.com,https://www.hotelamarpala.com,,4.3,463,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Ashoka Hotel,Shimla,Himachal Pradesh,,,,,31.106249,77.1792289,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8533-598430,info@ashokahot.com,https://www.ashokahotel.com,,4.2,223,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel White,Shimla,Himachal Pradesh,,,,,31.1069339,77.1785589,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6701-917872,info@hotelwhit.com,https://www.hotelwhite.com,,3.3,319,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Chapslee Hotel,Shimla,Himachal Pradesh,,,,,31.1089696,77.1789043,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7410-312351,info@chapsleeh.com,https://www.chapsleehotel.com,,3.3,288,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Janjatiya Bhawan,Shimla,Himachal Pradesh,,,,,31.1055516,77.2064998,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8492-683916,info@janjatiya.com,https://www.janjatiyabhawa.com,,4.0,41,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
North Moon Home Stay,Shimla,Himachal Pradesh,,,,,31.0776599,77.3094337,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9154-465905,info@northmoon.com,https://www.northmoonhome.com,,3.2,388,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Harmony Hotel,Shimla,Himachal Pradesh,,,,,31.1040614,77.1695387,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8694-530505,info@harmonyho.com,https://www.harmonyhotel.com,,4.2,271,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Mahamaya Hotel (OYO),Shimla,Himachal Pradesh,,,,,31.1028428,77.1745364,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6373-145491,info@mahamayah.com,https://www.mahamayahotel.com,,3.3,335,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
