hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
The Park Bangalore,3.9,Very Good,4187.0,5.0,Ulsoor,,,,7567.0,2254.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",4.0,Very Good,2201.0,4.0,Brookefield,,,,1509.0,531.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
ITC Windsor - A Luxury Collection Hotel,4.4,Excellent,1315.0,5.0,Vasanth Nagar ,Bangalore Palace,2.4 km ,2.4,9900.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Lemon Tree Premier Ulsoor Lake Bangalore,4.0,Very Good,5089.0,5.0,Sivanchetti Gardens ,Ulsoor Lake,770 m ,0.77,2347.0,918.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",4.0,Very Good,3290.0,4.0,Hosur road,,,,2522.0,1014.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Chancery Pavilion,3.8,Very Good,4764.0,5.0,Ashok Nagar ,MG Road,2.4 km ,2.4,6580.0,1540.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Radisson Blu Atria Bengaluru,4.3,Excellent,2372.0,5.0,Palace road,,,,10200.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Lemon Tree Hotel Electronics City Bangalore,4.1,Very Good,2314.0,4.0,Electronic City,,,,2598.0,1016.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4.3,Excellent,2076.0,5.0,Richmond road,,,,7700.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Grand Mercure Bangalore - An Accor Brand,4.3,Excellent,426.0,5.0,Koramangala,,,,9700.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Holiday Inn Express Bengaluru Yeshwantpur,3.7,Very Good,1602.0,3.0,Tumkur road,,,,3680.0,480.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
goSTOPS Bengaluru - Rooms & Dorms,4.2,Very Good,500.0,,Gandhi Nagar,,,,1098.0,269.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Holiday Inn Bengaluru Racecourse,4.0,Very Good,2156.0,5.0,Gandhi Nagar,,,,7249.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Fortune Select JP Cosmos - Member ITC Hotel Group,4.0,Very Good,2944.0,5.0,Vasanth Nagar ,Bangalore Palace,2.9 km ,2.9,5999.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Hyatt Centric MG Road Bangalore,4.2,Very Good,1162.0,5.0,Ulsoor,,,,6250.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Ibis Bengaluru City Centre - An Accor Brand,3.9,Very Good,1805.0,4.0,Sampangi Rama Nagar ,Cubbon Park,1.8 km ,1.8,4299.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"The Fern Residency - Yeshwanthpur, Bengaluru",4.0,Very Good,1618.0,4.0,Tumkur road,,,,4112.0,831.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Ashraya International Hotel,3.7,Very Good,664.0,3.0,Infantry Road ,MG Road,2.3 km ,2.3,2792.0,564.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Davanam Sarovar Portico Suites,4.3,Excellent,1865.0,4.0,Koramangala,,,,5076.0,1026.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Taj M G Road, Bengaluru",4.6,Excellent,1715.0,5.0,Sivanchetti Gardens ,MG Road,2.9 km ,2.9,9000.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
