city,month,booking_volume_index,price_premium_factor,popular_traveler_type
Mumbai,1,1.32,1.1,Family
Mumbai,2,1.43,1.13,Business
Mumbai,3,1.54,1.16,Business
Mumbai,4,0.99,1.0,Business
Mumbai,5,0.88,0.96,Business
Mumbai,6,0.77,0.93,Business
Mumbai,7,0.66,0.9,Business
Mumbai,8,0.66,0.9,Business
Mumbai,9,0.77,0.93,Business
Mumbai,10,1.65,1.2,Family
Mumbai,11,1.76,1.23,Family
Mumbai,12,1.54,1.16,Family
Delhi,1,1.32,1.1,Family
Delhi,2,1.43,1.13,Business
Delhi,3,1.54,1.16,Business
Delhi,4,0.99,1.0,Business
Delhi,5,0.88,0.96,Business
Delhi,6,0.77,0.93,Business
Delhi,7,0.66,0.9,Business
Delhi,8,0.66,0.9,Business
Delhi,9,0.77,0.93,Business
Delhi,10,1.65,1.2,Family
Delhi,11,1.76,1.23,Family
Delhi,12,1.54,1.16,Family
Bangalore,1,1.32,1.1,Family
Bangalore,2,1.43,1.13,Business
Bangalore,3,1.54,1.16,Business
Bangalore,4,0.99,1.0,Business
Bangalore,5,0.88,0.96,Business
Bangalore,6,0.77,0.93,Business
Bangalore,7,0.66,0.9,Business
Bangalore,8,0.66,0.9,Business
Bangalore,9,0.77,0.93,Business
Bangalore,10,1.65,1.2,Family
Bangalore,11,1.76,1.23,Family
Bangalore,12,1.54,1.16,Family
Chennai,1,1.08,1.02,Family
Chennai,2,1.17,1.05,Business
Chennai,3,1.26,1.08,Business
Chennai,4,0.81,0.94,Business
Chennai,5,0.72,0.92,Business
Chennai,6,0.63,0.89,Business
Chennai,7,0.54,0.86,Business
Chennai,8,0.54,0.86,Business
Chennai,9,0.63,0.89,Business
Chennai,10,1.35,1.1,Family
Chennai,11,1.44,1.13,Family
Chennai,12,1.26,1.08,Family
Kolkata,1,1.08,1.02,Family
Kolkata,2,1.17,1.05,Business
Kolkata,3,1.26,1.08,Business
Kolkata,4,0.81,0.94,Business
Kolkata,5,0.72,0.92,Business
Kolkata,6,0.63,0.89,Business
Kolkata,7,0.54,0.86,Business
Kolkata,8,0.54,0.86,Business
Kolkata,9,0.63,0.89,Business
Kolkata,10,1.35,1.1,Family
Kolkata,11,1.44,1.13,Family
Kolkata,12,1.26,1.08,Family
Hyderabad,1,1.08,1.02,Family
Hyderabad,2,1.17,1.05,Business
Hyderabad,3,1.26,1.08,Business
Hyderabad,4,0.81,0.94,Business
Hyderabad,5,0.72,0.92,Business
Hyderabad,6,0.63,0.89,Business
Hyderabad,7,0.54,0.86,Business
Hyderabad,8,0.54,0.86,Business
Hyderabad,9,0.63,0.89,Business
Hyderabad,10,1.35,1.1,Family
Hyderabad,11,1.44,1.13,Family
Hyderabad,12,1.26,1.08,Family
Pune,1,1.08,1.02,Family
Pune,2,1.17,1.05,Business
Pune,3,1.26,1.08,Business
Pune,4,0.81,0.94,Business
Pune,5,0.72,0.92,Business
Pune,6,0.63,0.89,Business
Pune,7,0.54,0.86,Business
Pune,8,0.54,0.86,Business
Pune,9,0.63,0.89,Business
Pune,10,1.35,1.1,Family
Pune,11,1.44,1.13,Family
Pune,12,1.26,1.08,Family
Jaipur,1,1.08,1.02,Family
Jaipur,2,1.17,1.05,Business
Jaipur,3,1.26,1.08,Business
Jaipur,4,0.81,0.94,Business
Jaipur,5,0.72,0.92,Business
Jaipur,6,0.63,0.89,Business
Jaipur,7,0.54,0.86,Business
Jaipur,8,0.54,0.86,Business
Jaipur,9,0.63,0.89,Business
Jaipur,10,1.35,1.1,Family
Jaipur,11,1.44,1.13,Family
Jaipur,12,1.26,1.08,Family
Ahmedabad,1,1.08,1.02,Family
Ahmedabad,2,1.17,1.05,Business
Ahmedabad,3,1.26,1.08,Business
Ahmedabad,4,0.81,0.94,Business
Ahmedabad,5,0.72,0.92,Business
Ahmedabad,6,0.63,0.89,Business
Ahmedabad,7,0.54,0.86,Business
Ahmedabad,8,0.54,0.86,Business
Ahmedabad,9,0.63,0.89,Business
Ahmedabad,10,1.35,1.1,Family
Ahmedabad,11,1.44,1.13,Family
Ahmedabad,12,1.26,1.08,Family
Lucknow,1,1.08,1.02,Family
Lucknow,2,1.17,1.05,Business
Lucknow,3,1.26,1.08,Business
Lucknow,4,0.81,0.94,Business
Lucknow,5,0.72,0.92,Business
Lucknow,6,0.63,0.89,Business
Lucknow,7,0.54,0.86,Business
Lucknow,8,0.54,0.86,Business
Lucknow,9,0.63,0.89,Business
Lucknow,10,1.35,1.1,Family
Lucknow,11,1.44,1.13,Family
Lucknow,12,1.26,1.08,Family
Kochi,1,1.08,1.02,Family
Kochi,2,1.17,1.05,Business
Kochi,3,1.26,1.08,Business
Kochi,4,0.81,0.94,Business
Kochi,5,0.72,0.92,Business
Kochi,6,0.63,0.89,Business
Kochi,7,0.54,0.86,Business
Kochi,8,0.54,0.86,Business
Kochi,9,0.63,0.89,Business
Kochi,10,1.35,1.1,Family
Kochi,11,1.44,1.13,Family
Kochi,12,1.26,1.08,Family
