hotel_id,name,city,state,star_rating,price_per_night_inr,property_type,total_rooms,year_established,free_wifi,air_conditioning,parking,room_service,24_7_front_desk,restaurant,gym,pool,spa,business_center,conference_hall,airport_shuttle,meeting_rooms,vegetarian_restaurant,multilingual_staff,local_cuisine,popularity_score,review_count
1,Leela Wali Group Ahmedabad,Ahmedabad,Gujarat,3,3204,Service Apartment,189,2012,True,True,True,False,False,False,False,False,False,True,True,False,True,False,True,True,2.0,0.0
2,Royal Pradhan Group Jaipur,Jaipur,Rajasthan,4,4641,Resort,27,1998,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True,0.0,0.0
3,"ITC Sachdev, Biswas and Palan Kolkata",Kolkata,West Bengal,3,3054,Service Apartment,47,1999,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,1.0,0.0
4,Grand Subramaniam Group Bangalore,Bangalore,Karnataka,4,6118,Hotel,128,2006,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,1.0,0.0
5,Royal Devan-Hegde Kochi,Kochi,Kerala,5,4984,5-Star Resort,78,2004,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,3.0,0.0
6,Taj Sekhon-Prasad Kochi,Kochi,Kerala,3,3034,Service Apartment,148,1991,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,3.0,2.0
7,"Leela Doctor, Dhingra and Dhawan Delhi",Delhi,Delhi,5,8322,5-Star Resort,229,2011,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,1.0,1.0
8,"Leela Sami, Buch and Gour Hyderabad",Hyderabad,Telangana,4,5558,Hotel,116,2013,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,0.0,0.0
9,Grand Ram-Hegde Lucknow,Lucknow,Uttar Pradesh,4,4306,Resort,80,1999,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,False,1.0,0.0
10,Taj Dash and Sons Jaipur,Jaipur,Rajasthan,3,3963,Hotel,164,2009,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,4.0,1.0
11,"Leela Toor, Ben and Natt Lucknow",Lucknow,Uttar Pradesh,3,3121,Boutique Hotel,97,2021,True,True,True,False,True,False,False,False,False,False,True,True,False,True,True,True,2.0,0.0
12,"Taj Raval, Behl and Pingle Mumbai",Mumbai,Maharashtra,4,7105,Business Hotel,293,2014,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,True,0.0,0.0
13,Taj Jaggi-Gill Hyderabad,Hyderabad,Telangana,3,4134,Hotel,170,2012,True,True,True,False,True,False,False,False,True,False,False,False,True,True,True,True,1.0,1.0
14,Taj Tripathi-Sathe Hyderabad,Hyderabad,Telangana,4,5301,Business Hotel,299,2000,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,0.0,0.0
15,"Taj Sem, Goyal and Khurana Delhi",Delhi,Delhi,5,8697,Luxury Hotel,45,2021,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,8.0,5.0
16,"Taj Patil, Nayar and Mohan Kolkata",Kolkata,West Bengal,5,5908,5-Star Resort,232,2001,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,9.0,3.0
17,Leela Bava LLC Chennai,Chennai,Tamil Nadu,5,5929,Business Hotel,207,1995,True,True,True,False,True,True,True,True,False,False,False,True,False,True,False,False,3.0,0.0
18,Taj Cheema-Arya Pune,Pune,Maharashtra,5,6933,Business Hotel,229,1997,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,6.0,3.0
19,Taj Pant-Balan Bangalore,Bangalore,Karnataka,3,3927,Hotel,209,2003,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,2.0,0.0
20,"Taj Dhingra, Bhavsar and Barman Jaipur",Jaipur,Rajasthan,3,3607,Hotel,84,2003,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,1.0,0.0
21,"Royal Khosla, Edwin and Srivastava Delhi",Delhi,Delhi,4,7504,Business Hotel,185,1991,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,True,4.0,3.0
22,Leela Tara Inc Bangalore,Bangalore,Karnataka,4,5489,Resort,238,1996,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,0.0,0.0
23,"ITC Hayer, Behl and Srivastava Jaipur",Jaipur,Rajasthan,4,5070,Business Hotel,130,2017,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True,True,3.0,2.0
24,Grand Dave-Borra Jaipur,Jaipur,Rajasthan,4,5241,Business Hotel,188,1997,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,0.0,0.0
25,Leela Chada-Bose Pune,Pune,Maharashtra,4,5964,Business Hotel,33,2007,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,True,0.0,0.0
26,ITC Minhas-Sami Mumbai,Mumbai,Maharashtra,4,7189,Business Hotel,63,1993,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,False,10.0,3.0
27,ITC Sant PLC Bangalore,Bangalore,Karnataka,5,6706,Luxury Hotel,23,2003,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,1.0,0.0
28,"Grand Palla, Savant and Chand Kolkata",Kolkata,West Bengal,5,6098,5-Star Resort,239,2015,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,4.0,2.0
29,"Royal Zachariah, Dua and Dewan Kochi",Kochi,Kerala,3,3210,Hotel,281,1997,True,True,True,False,False,False,False,True,False,True,False,False,True,True,True,True,5.0,1.0
30,Leela Thaman-Oommen Ahmedabad,Ahmedabad,Gujarat,5,5931,Business Hotel,185,2010,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,6.0,4.0
31,Grand Subramaniam Group Bangalore,Bangalore,Karnataka,5,7113,5-Star Resort,116,2010,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,4.0,2.0
32,"Taj Hayre, Panchal and Deshpande Lucknow",Lucknow,Uttar Pradesh,3,3057,Service Apartment,46,2011,True,True,True,False,True,False,False,True,False,True,True,False,True,True,True,True,1.0,0.0
33,ITC Buch LLC Delhi,Delhi,Delhi,4,6800,Resort,188,1998,True,True,True,False,False,True,True,True,False,False,False,False,False,True,False,True,4.0,3.0
34,ITC Banik-Bedi Kochi,Kochi,Kerala,4,4528,Business Hotel,289,1992,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,False,2.0,1.0
35,"ITC Dhawan, Lad and Zachariah Kochi",Kochi,Kerala,5,5262,Luxury Hotel,178,2020,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,9.0,2.0
36,Grand Patel Inc Chennai,Chennai,Tamil Nadu,5,6230,5-Star Resort,62,2000,True,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,4.0,3.0
37,Taj Vohra-Buch Kolkata,Kolkata,West Bengal,3,3325,Hotel,90,1992,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0
38,"ITC Ranganathan, Sarkar and Menon Kolkata",Kolkata,West Bengal,4,4853,Resort,52,1997,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,2.0,2.0
39,Leela Nayar Ltd Jaipur,Jaipur,Rajasthan,4,4958,Resort,42,2014,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,2.0,1.0
40,Royal Patil-Guha Hyderabad,Hyderabad,Telangana,4,5111,Hotel,254,1992,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,True,1.0,0.0
41,"Leela Merchant, Vasa and Roy Kolkata",Kolkata,West Bengal,4,4212,Business Hotel,245,2014,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False,True,5.0,1.0
42,Leela Barad and Sons Hyderabad,Hyderabad,Telangana,5,7356,5-Star Resort,248,1992,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,0.0,0.0
43,"Taj Bir, Dey and Mahajan Hyderabad",Hyderabad,Telangana,5,6874,5-Star Resort,36,1999,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,7.0,3.0
44,"ITC Vohra, Kala and Narayanan Kochi",Kochi,Kerala,4,4308,Resort,271,2002,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,0.0,0.0
45,"Taj Pal, Upadhyay and Chandran Delhi",Delhi,Delhi,5,8158,Business Hotel,134,1997,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,3.0,0.0
46,Taj Sem-Hayer Chennai,Chennai,Tamil Nadu,5,6773,Business Hotel,57,2018,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,2.0,0.0
47,"Taj Oza, Majumdar and Bhargava Jaipur",Jaipur,Rajasthan,3,3779,Hotel,148,2002,True,True,True,False,True,False,False,False,True,True,True,True,True,False,True,False,1.0,0.0
48,ITC Nanda-Singhal Kochi,Kochi,Kerala,4,4749,Resort,127,2016,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,5.0,2.0
49,Taj Edwin Ltd Lucknow,Lucknow,Uttar Pradesh,3,3157,Boutique Hotel,86,2013,True,True,True,False,True,False,False,False,True,True,True,True,True,False,True,False,1.0,1.0
50,ITC Kala LLC Ahmedabad,Ahmedabad,Gujarat,4,4794,Resort,275,2009,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,6.0,1.0
51,"Taj Nagar, Morar and Tella Jaipur",Jaipur,Rajasthan,3,3300,Hotel,225,1993,True,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,2.0,0.0
52,"Leela Raval, Sharma and Bose Lucknow",Lucknow,Uttar Pradesh,4,4146,Business Hotel,40,1992,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,1.0,0.0
53,"Grand Mukhopadhyay, Prashad and Maharaj Mumbai",Mumbai,Maharashtra,4,7122,Resort,189,1997,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,4.0,0.0
54,Royal Chopra Group Pune,Pune,Maharashtra,3,4685,Hotel,76,2002,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,0.0,0.0
55,ITC Chakrabarti-Gara Mumbai,Mumbai,Maharashtra,4,7589,Resort,299,2012,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,0.0,0.0
56,Taj Nadkarni-Das Kochi,Kochi,Kerala,3,3441,Boutique Hotel,82,2014,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,11.0,3.0
57,Royal Kala-Bir Pune,Pune,Maharashtra,5,8169,Luxury Hotel,291,2004,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,10.0,4.0
58,Grand Mangal Ltd Kochi,Kochi,Kerala,4,4119,Business Hotel,138,1992,True,True,True,False,True,False,False,True,False,False,True,False,False,True,True,True,1.0,0.0
59,ITC Pandey-Pandey Bangalore,Bangalore,Karnataka,4,5665,Resort,88,2022,True,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,2.0,0.0
60,Grand Varughese-Natarajan Jaipur,Jaipur,Rajasthan,3,3482,Hotel,91,2020,True,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,8.0,3.0
61,"Taj Raval, Tak and Vohra Hyderabad",Hyderabad,Telangana,3,4383,Service Apartment,80,2008,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,0.0,0.0
62,Taj Puri Ltd Hyderabad,Hyderabad,Telangana,3,4124,Hotel,77,1993,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,True,0.0,0.0
63,Taj Mammen Group Ahmedabad,Ahmedabad,Gujarat,3,3838,Service Apartment,31,2015,True,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,4.0,2.0
64,"Leela Dutt, Jhaveri and Doctor Kolkata",Kolkata,West Bengal,5,5954,5-Star Resort,213,2014,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,True,3.0,1.0
65,Royal Bhavsar Group Delhi,Delhi,Delhi,4,7297,Resort,197,1999,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,3.0,0.0
66,ITC Varty LLC Kolkata,Kolkata,West Bengal,4,4200,Hotel,48,1998,True,True,True,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.0
67,Leela Chatterjee and Sons Ahmedabad,Ahmedabad,Gujarat,3,3902,Service Apartment,273,1993,True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,True,1.0,0.0
68,Royal Raja-Lad Hyderabad,Hyderabad,Telangana,4,5850,Resort,144,2006,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,2.0,1.0
69,Taj Parikh PLC Chennai,Chennai,Tamil Nadu,4,4946,Hotel,128,2002,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,False,1.0,0.0
70,"Taj Sarna, Sidhu and Muni Delhi",Delhi,Delhi,5,9234,Luxury Hotel,209,2010,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,8.0,2.0
71,"Leela Uppal, Ghose and Rajan Pune",Pune,Maharashtra,4,5585,Resort,106,2012,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,11.0,2.0
72,"Leela Garg, Kapoor and Iyengar Bangalore",Bangalore,Karnataka,3,4008,Boutique Hotel,50,2020,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,0.0,0.0
73,Taj Rege PLC Kochi,Kochi,Kerala,3,3256,Boutique Hotel,223,1995,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,True,2.0,1.0
74,"Taj Bhatnagar, Konda and Biswas Hyderabad",Hyderabad,Telangana,4,5869,Business Hotel,68,1992,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,1.0,0.0
75,Grand Tripathi-Patil Chennai,Chennai,Tamil Nadu,4,4824,Resort,103,2005,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0
76,Taj Thaker Ltd Lucknow,Lucknow,Uttar Pradesh,5,5462,Luxury Hotel,159,2018,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,True,4.0,2.0
