hotel_id,name,city,state,star_rating,price_per_night_inr,property_type,vegetarian_restaurant,wifi_available,parking_available,ac_available,latitude,longitude,gym_available,pool_available,spa_available,business_center,room_service,metro_distance_km,railway_distance_km,airport_distance_km,chain_name
1,Delhi Grand Hotel,Delhi,Delhi,4.4,9524,Resort,True,True,True,False,10.717162,74.747166,True,False,True,False,False,,1.1,41.3,
2,Radisson Pune,Pune,Maharashtra,3.2,8555,Guesthouse,True,True,False,True,17.974716,75.671105,True,False,True,False,False,10.7,1.9,15.3,Hilton
3,Taj Kolkata,Kolkata,West Bengal,4.6,4809,Boutique Hotel,False,False,False,True,14.075704,75.742357,True,True,True,True,False,14.8,13.2,30.1,
4,Hyderabad Grand Hotel,Hyderabad,Telangana,3.1,2551,Guesthouse,False,False,True,True,,,False,True,False,False,False,2.5,15.2,29.3,
5,Hyatt Lucknow,Lucknow,Uttar Pradesh,4.7,14587,Guesthouse,True,True,False,True,,,True,True,False,True,False,14.9,11.1,48.7,
6,Treebo Mumbai,Mumbai,Maharashtra,4.3,19095,Guesthouse,False,True,False,False,8.094114,88.94067,True,True,False,True,True,2.8,19.1,46.5,
7,Lemon Tree Mumbai,Mumbai,Maharashtra,3.3,2138,Hotel,False,False,True,True,24.453351,70.283954,True,True,True,False,True,13.2,9.0,14.5,
8,OYO Jaipur Premium,Jaipur,Rajasthan,4.2,11714,Boutique Hotel,False,False,False,True,9.856751,68.609994,True,True,True,True,True,1.0,7.3,28.1,
9,Treebo Kolkata,Kolkata,West Bengal,3.7,19169,Resort,False,True,False,False,10.810994,80.500484,True,True,True,False,False,,3.1,13.6,Hilton
10,Marriott Jaipur,Jaipur,Rajasthan,2.9,7512,Guesthouse,False,True,True,False,,,True,True,True,True,True,7.5,5.1,23.0,
11,Leela Palace Mumbai,Mumbai,Maharashtra,3.4,14293,Guesthouse,False,False,False,False,16.604527,96.092572,True,False,True,True,False,12.9,4.0,48.2,
12,Leela Palace Delhi,Delhi,Delhi,2.7,3726,Heritage Property,True,False,True,True,9.152508,70.377519,False,False,True,False,True,2.4,13.3,25.6,
13,Delhi Grand Hotel,Delhi,Delhi,3.6,19948,Hotel,True,True,False,True,,,True,False,False,True,False,,14.4,32.5,
14,Jaipur Grand Hotel,Jaipur,Rajasthan,4.2,19673,Guesthouse,True,True,False,True,,,True,False,False,True,False,9.7,6.0,27.0,
15,Taj Mumbai,Mumbai,Maharashtra,4.1,10566,Hotel,True,False,True,False,20.81323,88.464356,True,True,True,True,False,2.6,3.4,18.9,
16,Radisson Mumbai,Mumbai,Maharashtra,3.0,9676,Heritage Property,True,False,False,True,,,True,False,True,True,False,,8.8,35.1,ITC
17,Oberoi Chennai,Chennai,Tamil Nadu,2.9,5042,Boutique Hotel,True,False,True,True,,,True,True,True,True,False,13.0,19.4,17.6,Radisson
18,Hyatt Jaipur,Jaipur,Rajasthan,4.2,19070,Guesthouse,True,True,False,True,36.522967,69.109459,False,False,False,True,False,,4.6,7.0,
19,Pune Grand Hotel,Pune,Maharashtra,3.8,19143,Heritage Property,True,False,False,True,,,False,True,False,False,False,10.6,11.5,13.6,
20,Treebo Pune,Pune,Maharashtra,4.4,7202,Business Hotel,False,False,True,False,20.466756,84.819559,False,False,False,True,False,,19.2,38.1,
21,Oberoi Delhi,Delhi,Delhi,3.8,12483,Hotel,True,False,True,True,9.340198,96.534145,True,False,False,True,False,4.0,13.5,5.2,
22,Hyatt Delhi,Delhi,Delhi,3.0,18472,Boutique Hotel,True,True,True,False,21.474654,83.402825,False,False,False,False,True,,10.0,16.7,
23,Treebo Chennai,Chennai,Tamil Nadu,3.2,18581,Boutique Hotel,True,False,False,True,,,False,True,True,True,True,2.7,5.1,23.7,Marriott
24,Hilton Hyderabad,Hyderabad,Telangana,3.7,3540,Resort,False,False,True,False,35.339508,76.659767,True,False,True,False,False,6.1,13.7,40.9,Hyatt
25,Marriott Bangalore,Bangalore,Karnataka,4.8,19002,Hotel,False,True,True,False,21.389255,69.458254,False,False,False,False,False,,16.8,16.4,Leela
26,Marriott Delhi,Delhi,Delhi,2.5,19175,Hotel,False,True,True,True,,,True,True,True,True,True,2.2,19.0,25.9,
27,Radisson Kolkata,Kolkata,West Bengal,2.9,5253,Resort,False,True,True,False,34.332758,78.883902,True,True,True,True,False,,12.4,10.4,
28,Lucknow Grand Hotel,Lucknow,Uttar Pradesh,3.4,15537,Heritage Property,False,True,False,True,,,True,False,False,False,True,11.1,19.3,17.2,
29,Marriott Jaipur,Jaipur,Rajasthan,3.7,10294,Guesthouse,True,True,False,False,21.476546,85.699619,False,False,True,False,True,4.2,6.3,31.8,Taj
30,Hilton Kolkata,Kolkata,West Bengal,2.5,7760,Hotel,True,False,False,True,26.731184,82.233819,True,False,True,False,True,8.9,10.0,28.9,
31,OYO Pune Premium,Pune,Maharashtra,3.9,13028,Heritage Property,False,False,False,False,28.917246,77.15089,True,True,True,False,False,,19.6,28.6,
32,Taj Kolkata,Kolkata,West Bengal,4.6,11207,Resort,False,True,False,True,,,True,False,True,False,True,,11.9,26.1,Taj
33,Radisson Ahmedabad,Ahmedabad,Gujarat,3.0,3183,Guesthouse,False,True,True,False,24.733614,87.90708,True,True,True,False,True,,8.2,45.9,Radisson
34,Lemon Tree Kolkata,Kolkata,West Bengal,5.0,11506,Business Hotel,True,True,True,True,10.354436,74.95609,True,True,False,False,False,3.9,14.4,36.6,
35,Taj Ahmedabad,Ahmedabad,Gujarat,4.2,10168,Heritage Property,True,False,True,True,34.343932,91.972304,False,False,False,True,False,,14.3,47.4,ITC
36,Hilton Jaipur,Jaipur,Rajasthan,3.7,4135,Business Hotel,True,False,False,False,14.638808,87.554653,True,False,True,True,False,6.9,6.3,49.9,
37,Treebo Pune,Pune,Maharashtra,4.5,4489,Boutique Hotel,False,False,False,False,32.87426,77.564306,False,False,True,False,True,5.2,19.4,23.2,
38,Jaipur Grand Hotel,Jaipur,Rajasthan,4.1,19279,Boutique Hotel,False,True,True,False,22.4563,80.819188,True,False,False,False,True,9.6,16.2,36.9,Radisson
39,Hilton Kolkata,Kolkata,West Bengal,2.5,14869,Hotel,True,True,False,True,12.465163,95.046939,False,False,False,True,False,6.1,18.5,27.9,Radisson
40,Taj Bangalore,Bangalore,Karnataka,3.2,15096,Guesthouse,False,True,False,False,,,False,True,False,False,False,11.6,8.2,47.0,
41,OYO Chennai Premium,Chennai,Tamil Nadu,3.1,14049,Resort,False,True,False,False,,,False,True,False,True,True,9.1,17.5,44.3,
42,Taj Ahmedabad,Ahmedabad,Gujarat,3.8,16472,Hotel,True,False,True,True,36.106905,77.818276,True,False,False,False,False,,1.7,8.1,
43,ITC Kolkata,Kolkata,West Bengal,4.4,15720,Hotel,True,False,True,False,,,False,False,False,False,True,6.5,14.0,13.1,Taj
44,Taj Bangalore,Bangalore,Karnataka,4.0,14035,Business Hotel,True,False,True,True,15.365343,75.404475,False,True,True,False,False,,6.7,48.3,Hilton
45,Marriott Kolkata,Kolkata,West Bengal,4.6,8027,Boutique Hotel,False,True,True,False,24.669546,96.788069,False,True,True,False,False,,5.4,41.1,Hyatt
46,Treebo Chennai,Chennai,Tamil Nadu,3.0,9712,Heritage Property,True,True,True,False,,,True,True,False,False,False,2.4,11.2,48.7,Marriott
47,Hilton Jaipur,Jaipur,Rajasthan,4.8,6891,Guesthouse,False,False,False,True,10.183681,89.870393,False,True,False,True,False,7.1,13.8,35.3,Hyatt
48,Hyatt Lucknow,Lucknow,Uttar Pradesh,4.6,13672,Hotel,True,False,True,False,,,False,False,False,True,True,1.0,19.9,10.2,Oberoi
49,Hilton Chennai,Chennai,Tamil Nadu,2.8,16364,Guesthouse,False,True,False,True,,,False,True,False,True,False,3.9,7.9,49.1,
50,Hilton Hyderabad,Hyderabad,Telangana,4.8,13253,Hotel,False,False,True,True,,,True,True,True,True,False,2.3,11.7,8.1,
51,ITC Jaipur,Jaipur,Rajasthan,4.0,9134,Guesthouse,True,True,False,True,,,True,True,True,True,True,11.9,12.2,5.7,
52,Kolkata Grand Hotel,Kolkata,West Bengal,2.8,15294,Business Hotel,True,True,False,False,,,True,False,True,True,False,14.5,2.2,26.6,
53,Hyatt Pune,Pune,Maharashtra,4.2,17565,Heritage Property,False,True,True,False,9.904785,75.975464,False,False,False,False,False,10.7,17.2,34.3,
54,OYO Jaipur Premium,Jaipur,Rajasthan,4.7,15592,Boutique Hotel,True,False,False,False,29.158763,77.063902,False,True,False,True,True,,2.8,9.3,Radisson
55,Leela Palace Hyderabad,Hyderabad,Telangana,3.9,19902,Business Hotel,False,True,False,False,,,False,True,False,False,False,7.9,3.9,26.7,
56,Radisson Delhi,Delhi,Delhi,4.6,13544,Hotel,False,True,False,True,27.077106,88.110664,False,False,False,True,True,,11.8,23.0,Radisson
57,OYO Bangalore Premium,Bangalore,Karnataka,4.1,2504,Hotel,True,False,False,False,18.73154,88.926283,True,True,True,True,True,,6.2,34.8,
58,Lemon Tree Ahmedabad,Ahmedabad,Gujarat,3.6,10451,Resort,True,False,False,True,27.676101,82.11235,True,True,False,True,True,14.2,15.6,39.4,
59,Radisson Kolkata,Kolkata,West Bengal,2.8,17798,Heritage Property,False,True,True,False,14.673211,84.202983,False,True,False,True,False,13.9,17.4,30.9,
60,Hyatt Lucknow,Lucknow,Uttar Pradesh,4.3,15186,Guesthouse,True,False,True,False,35.480815,81.34281,False,True,False,True,True,6.3,2.5,44.2,
61,ITC Hyderabad,Hyderabad,Telangana,3.3,7009,Hotel,True,True,False,False,,,True,True,True,True,False,9.2,15.4,34.5,
