interaction_id,user_id,hotel_id,interaction_type,interaction_date,rating,total_amount_inr,stay_duration,travel_purpose,group_size,advance_booking_days,season,cancellation_flag
1,184,208,Reviewed,2023-07-20,3.9,36882,,,,,,
2,188,355,Booked,2023-05-18,4.4,14502,7.0,Business,1.0,12.0,Monsoon,False
3,74,376,Booked,2023-01-02,3.8,36190,6.0,Family_vacation,1.0,16.0,Monsoon,False
4,177,123,Booked,2023-03-29,3.1,11089,2.0,Business,1.0,11.0,Festival,False
5,4,342,Reviewed,2023-08-31,3.8,15002,,,,,,
6,46,136,Booked,2023-02-09,2.7,96803,7.0,Business,5.0,12.0,Festival,False
7,126,127,Booked,2023-08-30,3.8,129647,1.0,Family_vacation,1.0,22.0,Monsoon,False
8,135,258,Booked,2023-03-27,4.0,136395,1.0,Business,2.0,10.0,Monsoon,False
9,189,180,Booked,2023-10-07,3.3,40632,3.0,Leisure,4.0,1.0,Monsoon,False
10,86,266,Booked,2023-12-06,3.4,26082,5.0,Leisure,2.0,4.0,Monsoon,False
11,187,328,Booked,2023-01-11,4.5,38588,7.0,Business,2.0,22.0,Winter,False
12,8,126,Reviewed,2023-10-23,4.1,62072,,,,,,
13,93,106,Booked,2023-02-15,3.2,52456,6.0,Business,2.0,9.0,Festival,False
14,225,270,Booked,2023-03-31,3.9,79566,3.0,Leisure,4.0,19.0,Festival,False
15,71,159,Booked,2023-04-08,3.9,72565,6.0,Leisure,1.0,27.0,Summer,False
16,117,291,Booked,2023-06-27,4.5,4320,4.0,Family_vacation,1.0,5.0,Festival,False
17,134,149,Booked,2023-11-16,4.3,34636,3.0,Leisure,1.0,10.0,Summer,False
18,4,233,Booked,2023-01-21,3.8,15428,5.0,Business,2.0,2.0,Festival,False
19,111,181,Reviewed,2023-12-05,3.5,18052,,,,,,
20,65,71,Booked,2023-06-29,5.0,26019,7.0,Family_vacation,1.0,22.0,Winter,False
21,183,139,Reviewed,2023-03-15,3.9,24482,,,,,,
22,111,300,Reviewed,2023-02-11,3.9,11022,,,,,,
23,122,182,Reviewed,2023-05-08,5.0,83976,,,,,,
24,99,217,Booked,2023-07-24,4.6,7450,3.0,Leisure,1.0,20.0,Monsoon,False
25,112,348,Booked,2023-06-15,3.8,8872,6.0,Business,4.0,5.0,Festival,False
26,78,157,Booked,2023-02-13,3.5,96702,4.0,Family_vacation,3.0,13.0,Festival,True
27,135,227,Booked,2023-12-22,4.0,68058,6.0,Leisure,2.0,15.0,Monsoon,False
28,108,211,Reviewed,2023-08-25,4.0,20615,,,,,,
29,7,393,Booked,2023-08-04,3.9,9606,5.0,Leisure,3.0,19.0,Monsoon,False
30,140,290,Booked,2023-05-31,3.5,127834,4.0,Business,1.0,13.0,Summer,False
31,196,266,Reviewed,2023-08-24,3.3,3726,,,,,,
32,15,139,Reviewed,2023-11-29,3.0,61205,,,,,,
33,25,149,Booked,2023-10-17,4.2,51954,7.0,Business,1.0,4.0,Summer,False
34,133,74,Booked,2023-10-15,4.4,61848,2.0,Business,1.0,29.0,Winter,False
35,80,369,Booked,2023-01-04,3.9,19930,6.0,Business,3.0,3.0,Summer,False
36,226,62,Booked,2023-09-24,3.6,39944,1.0,Leisure,2.0,1.0,Festival,False
37,238,63,Booked,2023-06-03,4.1,28196,7.0,Business,1.0,27.0,Monsoon,False
38,175,225,Booked,2023-12-03,4.2,55160,2.0,Family_vacation,2.0,1.0,Winter,False
39,191,337,Booked,2023-05-04,4.6,10290,6.0,Family_vacation,3.0,16.0,Festival,False
40,171,52,Booked,2023-10-29,3.2,91764,3.0,Leisure,4.0,23.0,Summer,False
41,209,218,Booked,2023-03-17,3.9,46908,1.0,Family_vacation,2.0,13.0,Summer,False
42,9,331,Booked,2023-11-30,3.8,31280,4.0,Business,4.0,5.0,Festival,False
43,118,142,Booked,2023-01-05,3.9,56187,5.0,Family_vacation,1.0,7.0,Monsoon,False
44,135,200,Reviewed,2023-09-20,3.8,65322,,,,,,
45,39,181,Reviewed,2023-12-02,3.4,54156,,,,,,
46,118,367,Booked,2023-03-13,3.7,84315,6.0,Leisure,1.0,30.0,Festival,True
47,215,331,Booked,2023-09-05,3.3,25024,5.0,Family_vacation,1.0,6.0,Monsoon,False
