interaction_id,user_id,hotel_id,interaction_type,interaction_date,rating,total_amount_inr,stay_duration,travel_purpose,advance_booking_days,cancellation_flag
1,1,70,Booked,2023-12-16,5.0,18468,5.0,Family_vacation,3.0,False
2,1,115,Booked,2023-10-18,5.0,37004,1.0,Family_vacation,0.0,False
3,1,123,Booked,2023-06-08,4.3,8322,4.0,Business,1.0,False
4,1,57,Reviewed,2023-03-24,4.6,40845,,,,
5,1,228,Reviewed,2023-07-06,5.0,7961,,,,
6,1,260,Booked,2023-04-02,5.0,31892,3.0,Family_vacation,1.0,False
7,2,236,Booked,2023-03-05,5.0,40208,1.0,Leisure,0.0,False
8,2,236,Booked,2023-07-29,5.0,20104,4.0,Leisure,2.0,False
9,2,236,Booked,2023-06-10,5.0,40208,5.0,Leisure,0.0,False
10,3,10,Booked,2023-12-25,2.6,3963,2.0,Leisure,13.0,False
11,3,299,Booked,2023-03-23,4.1,3550,2.0,Business,8.0,False
12,3,148,Booked,2023-02-17,2.3,12652,6.0,Leisure,27.0,False
13,3,63,Booked,2023-02-13,2.0,3838,4.0,Leisure,21.0,False
14,4,117,Booked,2023-12-26,4.0,3898,3.0,Business,4.0,False
15,4,139,Reviewed,2023-08-29,3.0,7652,,,,
16,4,188,Reviewed,2023-06-13,3.7,16325,,,,
17,5,93,Booked,2023-08-09,3.6,7232,1.0,Leisure,35.0,True
18,5,159,Booked,2023-12-17,4.7,15102,6.0,Business,24.0,False
19,5,295,Booked,2023-05-21,4.6,23169,7.0,Leisure,11.0,False
20,5,351,Booked,2023-12-09,5.0,13900,7.0,Business,22.0,False
21,5,18,Booked,2023-08-08,5.0,20799,2.0,Leisure,52.0,False
22,6,104,Reviewed,2023-09-04,1.0,7988,,,,
23,6,109,Reviewed,2023-12-23,2.5,29095,,,,
24,6,133,Booked,2023-07-19,2.2,27310,7.0,Family_vacation,0.0,False
25,7,115,Booked,2023-06-12,5.0,37004,2.0,Leisure,0.0,False
26,7,15,Reviewed,2023-12-12,5.0,43485,,,,
27,7,179,Booked,2023-01-02,5.0,12574,6.0,Leisure,0.0,False
28,7,176,Reviewed,2023-01-19,5.0,16580,,,,
29,8,343,Booked,2023-03-27,5.0,17018,3.0,Business,1.0,False
30,8,106,Booked,2023-12-14,4.4,7952,3.0,Family_vacation,0.0,True
31,8,45,Booked,2023-06-07,5.0,8158,6.0,Business,6.0,False
32,9,375,Reviewed,2023-08-07,5.0,24135,,,,
33,9,98,Booked,2023-02-28,5.0,36188,4.0,Business,0.0,False
34,9,198,Reviewed,2023-03-25,5.0,33116,,,,
35,9,264,Reviewed,2023-12-04,5.0,32688,,,,
36,9,212,Booked,2023-11-21,5.0,46455,7.0,Business,3.0,False
37,9,332,Reviewed,2023-02-23,5.0,8471,,,,
38,10,272,Booked,2023-11-16,4.3,3285,6.0,Leisure,21.0,False
39,10,372,Booked,2023-01-17,3.9,15460,2.0,Leisure,13.0,False
40,10,205,Reviewed,2023-07-15,4.2,24820,,,,
41,11,219,Booked,2023-08-26,3.5,14756,1.0,Leisure,26.0,False
42,11,194,Booked,2023-09-17,2.9,10533,3.0,Leisure,14.0,False
43,11,373,Booked,2023-08-01,3.9,3646,4.0,Business,22.0,True
44,11,99,Booked,2023-09-23,4.1,18645,3.0,Leisure,4.0,False
45,11,373,Booked,2023-08-09,3.2,14584,2.0,Leisure,21.0,False
46,11,84,Booked,2023-01-27,4.1,19275,4.0,Leisure,24.0,False
