hotel_id,hotel_name
806,The Park Bangalore
1821,"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru"
2427,ITC Windsor - A Luxury Collection Hotel
2685,Lemon Tree Premier Ulsoor Lake Bangalore
34,"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru"
4521,The Chancery Pavilion
2379,Radisson Blu Atria Bengaluru
3013,Lemon Tree Hotel Electronics City Bangalore
4269,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru"
180,Grand Mercure Bangalore - An Accor Brand
2894,Holiday Inn Express Bengaluru Yeshwantpur
472,goSTOPS Bengaluru - Rooms & Dorms
2743,Holiday Inn Bengaluru Racecourse
3595,Fortune Select JP Cosmos - Member ITC Hotel Group
4084,Hyatt Centric MG Road Bangalore
599,Ibis Bengaluru City Centre - An Accor Brand
3014,"The Fern Residency - Yeshwanthpur, Bengaluru"
1069,Ashraya International Hotel
1074,Davanam Sarovar Portico Suites
3729,"Taj M G Road, Bengaluru"
231,Draper Startup House Koramangala | Dorms & Rooms
3342,The Lalit Ashok Bangalore
70,"Vivanta Bengaluru, Residency Road"
292,ibis Bengaluru Hebbal - An Accor Brand
927,Vividus
2442,Citrus Hotel Cunningham
24,Citrus Classic Bengaluru
2324,"Taj Yeshwantpur, Bengaluru"
2706,Lemon Tree Hotel Whitefield
4102,"Golden Lotus Bangalore Boutique Suites | Rooms & Garden
Like a 3"
3766,Ramada Encore
1346,Ibis Bengaluru Hosur Road - An Accor Brand
3292,"The Oberoi, Bengaluru"
2043,Holiday Inn Express Bengaluru Whitefield ITPL
469,The Hosteller Bangalore Brigade Road
3937,Ginger Bangalore (IRR)
158,Gokulam Grand Hotel & Spa
27,Bloom Hotel - Airport Road Bengaluru
1030,Hotel Ramanashree Richmond Circle
4629,"SRS Suites
Like a 3"
253,JP CORDIAL
4281,Taj Bangalore
1607,Radisson Bengaluru City Center
634,The Pride Hotel Bangalore
2192,BloomSuites | Electronic City
1748,Southern Star Bangalore
678,Royal Orchid Central Bangalore
803,Shivas Galaxy Hotel
4002,"The Bouvice
Like a 3"
316,JW Marriott Bengaluru Prestige Golfshire Resort and Spa
4421,La Sara Grand (Formerly Known as Nandhana Grand)
3110,Zone By The Park Infantry
2859,The Chancery
1296,Nash Inn Electronic City
1221,Radisson Blu Bengaluru Outer Ring Road
2511,"Ginger Bangalore, Whitefield"
3694,Hotel Royal Orchid Bangalore
1075,"The Hosteller Bangalore, Koramangala"
1184,Silicon City Hotel
3823,Country Inn And Suites By Radisson Bengaluru Hebbal
4371,Octave Himalaya Monarch
732,Greenpark Bengaluru
2463,ITC Gardenia - A Luxury Collection Hotel
2621,The Continentti Whitefield
2245,The Monarch Luxur
2227,Ballal Residency
1823,Hibernest Indiranagar
351,Fortune Park JP Celestial-Member ITC Hotel Group
1996,"Click Hotel Bangalore, International Airport"
3149,Omatra Hotel HSR
1965,Svenska Design Hotel
2286,Peninsula Suites
656,Iris Hotel & Spa Bangalore
3818,SM Royal Stay Hotel near Intl Airport Bangalore
2742,"Halcyon Residences
Like a 3"
1324,Shangri-La Bengaluru
3366,The Leela Bhartiya City Bengaluru
3919,"Holiday Inn Express & Suites, OMR Bengaluru"
298,Fairfield By Marriott Bengaluru Rajajinagar
2485,The Zuri Whitefield
1535,MAYBAACH HOTELS
2754,Regenta Place Bangalore by Royal Orchid Hotels Limited
3185,Icon Business Hotel by Bhagini
1804,Sterlings Mac Hotel & Suites
3781,Nexstay Kites Inn
3779,The Leela Palace Bengaluru
3570,Omatra Infantry Road | Rooms in a Homestay
2531,Bloom Hotel HSR Layout Sector 3
978,NOOR EMPIRE INTERNATIONAL
1033,Attide Biz
2752,Stayhome Classic
1323,DoubleTree Suites by Hilton
1028,Bloomrooms @ Indiranagar
1236,RG Royal Hotel
1865,Four Seasons Hotel Bengaluru at Embassy One
829,Ramee Strand inn
1085,Shravanthi Sarovar Portico JP Nagar
1946,"Vivanta Bengaluru, Whitefield"
3946,"Melange Astris
Like a 3"
2329,Octave Church Inn
1570,Mastiff Infantry Bengaluru
3636,"Taj Club House, Chennai"
995,The Park Chennai
3545,"Taj Fisherman's Cove Resort & Spa, Chennai"
3408,Hotel Savera
101,Ibis Chennai OMR - An Accor Brand
2958,"Taj Coromandel, Chennai"
4271,Courtyard by Marriott Chennai
844,Radisson Blu Hotel Chennai City Centre
1150,FIRST INN HOTELS
2183,Ibis Chennai City Centre - An Accor Brand
1721,Rohaan Inns - UPAR Ashok Nagar
1499,"Vivanta Chennai, IT Expressway"
241,"Taj Connemara, Chennai"
3097,Four Points by Sheraton Chennai OMR
2461,Ramada Plaza by Wyndham
2677,Citadines OMRChennai
9,The Leela Palace Chennai
1692,"The Raintree, Annasalai"
2267,Hablis
2493,Novotel Chennai Chamiers Road
1624,The Residency
1475,The Residency Towers
1645,Novotel Chennai OMR - An Accor Brand
1863,Hotel Southern Comfort ( Chennai Airport )
3765,Lemon Tree Hotel Chennai
583,The Pride Hotel Chennai
2772,"Ginger Chennai, Vadapalani"
2847,UPAR Nungambakkam
2291,Ginger Chennai
3485,Holiday Inn Express Chennai OMR Thoraipakkam
417,Raj Park Chennai
765,"UPAR Uthandi, ECR
Like a 3"
502,Hotel Abu Palace
2779,Ramada Chennai Egmore
839,Hyatt Regency Chennai
1489,"Lemon Tree Hotel, Shimona, Chennai"
2175,Trident Chennai
2408,Holiday Inn Chennai OMR IT Expressway
3908,Ibis Chennai SIPCOT - An Accor Brand
3648,The Accord Metropolitan
430,Park Hyatt Chennai
1403,OYO Home Fantasea Uthandi Near Juhu Beach
1911,Gokulam Park Sabari - Siruseri SIPCOT
3675,BOULEVARD BY DESIGN HOTEL
3083,Fairfield by Marriott Chennai OMR
1437,ITC Grand Chola - A Luxury Collection Hotel
2261,The Ambassador Pallava
3198,Le Royal Meridien
466,"Taj Wellington Mews, Chennai"
3909,Novotel Chennai Sipcot - An Accor Brand
1426,The Mount Manor
2923,Green Park Chennai
3385,Mango Hill central Chennai
136,Venture Park
3042,Grand Chennai by GRT Hotels
388,"Season 4 Residences, Nungambakkam"
4346,Ginger Chennai OMR
2615,Hotel Pandian
30,Hilton Chennai
4545,FORTEL
3793,Royal Park
2005,Fairfield by Marriott Chennai Mahindra World City
3049,Crossway Parklane Airport Hotel
1445,Hotel Ashok Residency
2885,Hotel Greens Gate (Near Central station)
3700,HOTEL RANJITH
2998,"Welcomhotel by ITC Hotels, GST Road, Chennai"
80,Regenta Central RS Chennai SIPCOT OMR
830,CRESCENT PARK (near US Consulate Chennai)
473,Harrisons
2415,MGM Beach Resorts (15Kms before Mahabalipuram)
1554,PARK PLAZA CHENNAI OMR
4310,Feathers A Radha Hotel Chennai
1648,V7 HOTEL
843,"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai"
3059,Hostel Gandhi
3932,Grand Cascade
4195,Days Hotel Chennai OMR
3571,PP Residency
415,Highnest | Rooms & Caretaker
3812,Grand Elegant
